id;numvoie;typevoie;libvoie;cp;commune
PC07235121Z0004-2;;;LOTISSEMENT DE LA VIGNE LO;72240;TENNIE
PC07235121Z0005-0;;;LA PAQUERIE;72240;TENNIE
PC07235121Z0005-1;;;LA PAQUERIE;72240;TENNIE
PC07235121Z0005-2;;;LA PAQUERIE;72240;TENNIE
PC07235121Z0006-0;;;Bresteau;72240;TENNIE
PC07235121Z0006-1;;;EARL BRESTEAU;72240;TENNIE
PC07235121Z0006-2;;;CHAMP DE BRETEAU;72240;TENNIE
PC07235821Z000501-0;1;RUE;ROLAND MORENO;26300;ALIXAN
PC07235821Z000501-2;19;RUE;DE SAINT MICHEL;72160;THORIGNE SUR DUE
PC07235821Z0007-0;;LIEU-;LE BOULAY;72390;DOLLON
PC07235821Z0007-2;4;;RUE DES AJONCS;72160;THORIGNE SUR DUE
PC07235821Z0008-0;29;CHEMI;Du Gué d'Arancé;72450;MONTFORT-LE-GESNOIS
PC07235821Z0008-2;2;;RUE DES PIVOINES;72160;THORIGNE SUR DUE
PC07235821Z0009-0;;;La Maison Dieu;72160;Connerré
PC07235821Z0009-2;10;;RUE DES JONQUILLES;72160;THORIGNE SUR DUE
PC07235821Z0010-0;34 BI;RUE;Ledru Rolin;72160;Connerré
PC07235821Z0010-2;15;;RUE DES JONQUILLES;72160;THORIGNE SUR DUE
PC07235821Z0011-0;;;LA MAISON NEUVE;72160;THORIGNE SUR DUE
PC07235821Z0011-2;;;LA MAISON NEUVE;72160;THORIGNE SUR DUE
PC07235821Z0012-0;19;RUE;DE LA FABRIQUE;72370;LE BREIL SUR MERIZE
PC07235821Z0012-2;12;RUE;DES JONQUILLES;72160;THORIGNE SUR DUE
PC07235921Z0009-0;;;24 RUE GISELE LEDRU MADELA;72110;TORCE EN VALLEE
PC07236121Z0006-0;2;LIEU-;La Croix Saint-Jean (Chang;72440;Tresson
PC07236121Z0006-2;;;LA CROIX SAINT JEAN;72240;TRESSON
